movie_name,release_date,country,runtime,rating,genre,imdb_rating,imdb_votes,tmdb_rating,tmdb_votes
#살아있다,"Jun. 24, 2020",South Korea,98 Min.,Not Rated,Acción,6.2,"1,521",8,126
In the Shadow of the Towers: Stuyvesant High on 9/11,"Sep. 11, 2019",USA,29 Min.,TV-14,Documental,6.5,214,8,5
The Hoarder,"May. 21, 2015",UK,84 Min.,Not Rated,Suspense,4.5,"2,199",4.4,119
Se busca papá,"Sep. 11, 2020",Mexico,102 Min.,TV-14,Comedia,5.7,430,7.8,68
Mrs Lowry & Son,"Aug. 30, 2019",UK,91 Min.,Not Rated,Drama,6.7,"1,313",6.8,14
Temblores,"May. 01, 2019",Guatemala,107 Min.,Unrated,Destacadas,6.7,831,7,9
The Lost Husband,"Apr. 10, 2020",USA,109 Min.,PG-13,Drama,6.0,"2,535",7.1,45
Force of Nature,"Jul. 02, 2020",USA,91 Min.,R,Acción,,,5.1,36
Reservoir Dogs,"Sep. 02, 1992",USA,99 Min.,R,Crimen,8.3,"899,242",8.2,"9,690"
Good Boy,"Jun. 12, 2020",,89 Min.,PG,Comedia,6.3,469,6,12
Showbiz Kids,"Jul. 14, 2020",USA,95 Min.,PG,Destacadas,7.1,411,5.5,6
Chemical Hearts,"Aug. 21, 2020",USA,93 Min.,R,Destacadas,6.3,"2,024",8.1,220
Legacy,"May. 28, 2020",USA,98 Min.,PG,Acción,3.8,186,6.1,18
반도,"Jul. 15, 2020",South Korea,116 Min.,Not Rated,Acción,6.0,"2,534",7.5,188
Bill & Ted Face the Music,"Aug. 27, 2020",USA,92 Min.,PG-13,Aventura,6.8,"3,166",6.1,36
First Cow,"Mar. 06, 2020",USA,121 Min.,PG-13,Drama,7.0,"3,769",7.1,53
Los secretos de La Roja – Campeones del mundo,"Jul. 09, 2020",Spain,73 Min.,PG,Documental,8.0,13,5.2,5
The Way Back,"Mar. 05, 2020",USA,108 Min.,R,Destacadas,6.7,"25,054",6.7,370
Enola Holmes,"Sep. 23, 2020",UK,123 Min.,PG-13,Aventura,,,8,743
Sonic the Hedgehog,"Feb. 12, 2020",USA,99 Min.,PG,Acción,6.6,"52,219",7.6,"3,261"
Extraction,"Apr. 24, 2020",USA,116 Min.,R,Acción,7.0,"19,254",7.4,699
The Sleepover,"Aug. 21, 2020",USA,103 Min.,TV-PG,Acción,5.5,"2,529",6.8,86
Scoob!,"May. 15, 2020",USA,94 Min.,PG,Animación,6.0,"3,877",8.2,488
The Old Guard,"Jul. 10, 2020",USA,124 Min.,R,Acción,,,7.3,460
Greyhound,"Jul. 10, 2020",China,92 Min.,PG-13,Acción,7.8,241,6.8,79
GIMS: On the Record,"Sep. 17, 2020",France,96 Min.,TV-MA,Documental,7.1,68,6.9,7
Project Power,"Aug. 14, 2020",USA,113 Min.,R,Acción,6.0,"21,646",6.8,528
The Call of the Wild,"Feb. 19, 2020",USA,100 Min.,PG,Acción,6.8,"17,271",5.9,150
Mulan,"Sep. 04, 2020",USA,116 Min.,PG-13,Acción,5.6,"15,586",7.8,926
